timestamp,header,name,position,velocity,effort
1769100598889806990,"{'stamp': {'sec': 1769100598, 'nanosec': 877707822}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598939436294,"{'stamp': {'sec': 1769100598, 'nanosec': 927941922}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598997936172,"{'stamp': {'sec': 1769100598, 'nanosec': 977991689}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599041310583,"{'stamp': {'sec': 1769100599, 'nanosec': 28058862}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599086315731,"{'stamp': {'sec': 1769100599, 'nanosec': 77730867}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599137098152,"{'stamp': {'sec': 1769100599, 'nanosec': 127682929}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599188018770,"{'stamp': {'sec': 1769100599, 'nanosec': 177936196}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599234141819,"{'stamp': {'sec': 1769100599, 'nanosec': 227866388}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599288129724,"{'stamp': {'sec': 1769100599, 'nanosec': 277958062}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599343756392,"{'stamp': {'sec': 1769100599, 'nanosec': 327979643}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599388063915,"{'stamp': {'sec': 1769100599, 'nanosec': 377701740}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599446326375,"{'stamp': {'sec': 1769100599, 'nanosec': 427836748}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599488030039,"{'stamp': {'sec': 1769100599, 'nanosec': 477853236}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599536842939,"{'stamp': {'sec': 1769100599, 'nanosec': 528055540}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599591994631,"{'stamp': {'sec': 1769100599, 'nanosec': 577951028}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599632660557,"{'stamp': {'sec': 1769100599, 'nanosec': 627707218}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599683539277,"{'stamp': {'sec': 1769100599, 'nanosec': 677773762}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599744213298,"{'stamp': {'sec': 1769100599, 'nanosec': 727791306}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599787645463,"{'stamp': {'sec': 1769100599, 'nanosec': 778029647}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599837116342,"{'stamp': {'sec': 1769100599, 'nanosec': 827961079}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599893666869,"{'stamp': {'sec': 1769100599, 'nanosec': 877698084}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599936249898,"{'stamp': {'sec': 1769100599, 'nanosec': 927924241}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100599984764324,"{'stamp': {'sec': 1769100599, 'nanosec': 977912414}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600045405538,"{'stamp': {'sec': 1769100600, 'nanosec': 27943161}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600086084175,"{'stamp': {'sec': 1769100600, 'nanosec': 78029150}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600135679948,"{'stamp': {'sec': 1769100600, 'nanosec': 127687636}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600191052142,"{'stamp': {'sec': 1769100600, 'nanosec': 177939570}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600239186604,"{'stamp': {'sec': 1769100600, 'nanosec': 227697871}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600296143485,"{'stamp': {'sec': 1769100600, 'nanosec': 277862675}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600339542740,"{'stamp': {'sec': 1769100600, 'nanosec': 327697792}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600387687589,"{'stamp': {'sec': 1769100600, 'nanosec': 377965688}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600448344271,"{'stamp': {'sec': 1769100600, 'nanosec': 427784824}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600490524686,"{'stamp': {'sec': 1769100600, 'nanosec': 477695589}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600534981073,"{'stamp': {'sec': 1769100600, 'nanosec': 527808244}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600594684796,"{'stamp': {'sec': 1769100600, 'nanosec': 577701750}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600634741382,"{'stamp': {'sec': 1769100600, 'nanosec': 627731738}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600686274004,"{'stamp': {'sec': 1769100600, 'nanosec': 677712671}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600745136613,"{'stamp': {'sec': 1769100600, 'nanosec': 727867863}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600788788216,"{'stamp': {'sec': 1769100600, 'nanosec': 777892407}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600836976717,"{'stamp': {'sec': 1769100600, 'nanosec': 827807469}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600893992436,"{'stamp': {'sec': 1769100600, 'nanosec': 877747141}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600936576089,"{'stamp': {'sec': 1769100600, 'nanosec': 927695907}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100600988121743,"{'stamp': {'sec': 1769100600, 'nanosec': 977877526}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100601042835037,"{'stamp': {'sec': 1769100601, 'nanosec': 27847180}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100601087881529,"{'stamp': {'sec': 1769100601, 'nanosec': 77849409}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100601134596168,"{'stamp': {'sec': 1769100601, 'nanosec': 127828174}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100601192281418,"{'stamp': {'sec': 1769100601, 'nanosec': 177707828}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100601238483888,"{'stamp': {'sec': 1769100601, 'nanosec': 227838150}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100601285804303,"{'stamp': {'sec': 1769100601, 'nanosec': 277699989}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100601343197067,"{'stamp': {'sec': 1769100601, 'nanosec': 327688310}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100601387287984,"{'stamp': {'sec': 1769100601, 'nanosec': 377931910}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
